Feature-to-Feature Correlations (absolute values, sorted)
('ratio_special_chars_in_name_scaled', 'following_count_scaled'): 0.0047
('username_entropy_scaled', 'tweet_rate_scaled'): 0.0046
('name_upper_to_lower_ratio_scaled', 'hashtag_in_description_count_scaled'): 0.0046
('cashtag_in_description_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0046
('followers_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0046
('username_upper_to_lower_ratio_scaled', 'listed_over_followers_scaled'): 0.0046
('following_over_followers_scaled', 'tweets_last20_avg_likes_scaled'): 0.0046
('cashtag_in_description_count_scaled', 'listed_over_followers_scaled'): 0.0045
('following_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0044
('username_entropy_scaled', 'followers_over_following_scaled'): 0.0043
('username_entropy_scaled', 'double_followers_over_following_scaled'): 0.0043
('ratio_special_chars_in_name_scaled', 'follower_rate_scaled'): 0.0043
('following_over_followers_squared_scaled', 'listed_over_tweets_scaled'): 0.0043
('ratio_special_chars_in_description_scaled', 'follower_rate_scaled'): 0.0042
('hashtag_in_description_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0041
('listed_count_scaled', 'following_over_followers_squared_scaled'): 0.0041
('followers_over_following_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0040
('double_followers_over_following_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0040
('mention_in_description_count_scaled', 'tweet_rate_scaled'): 0.0039
('ratio_digits_in_name_scaled', 'following_over_followers_scaled'): 0.0039
('cashtag_in_description_count_scaled', 'tweet_rate_scaled'): 0.0039
('account_age_seconds_scaled', 'tweets_last20_avg_likes_scaled'): 0.0038
('following_count_scaled', 'following_over_followers_squared_scaled'): 0.0038
('cashtag_in_description_count_scaled', 'listed_count_scaled'): 0.0038
('listed_over_followers_scaled', 'listed_over_tweets_scaled'): 0.0037
('name_upper_to_lower_ratio_scaled', 'followers_count_scaled'): 0.0037
('username_name_length_ratio_scaled', 'following_over_followers_squared_scaled'): 0.0036
('ratio_digits_in_description_scaled', 'following_count_scaled'): 0.0035
('cashtag_in_description_count_scaled', 'followers_count_scaled'): 0.0035
('url_in_description_count_scaled', 'listed_over_followers_scaled'): 0.0035
('ratio_special_chars_in_description_scaled', 'following_count_scaled'): 0.0035
('following_over_followers_squared_scaled', 'follower_rate_scaled'): 0.0034
('ratio_special_chars_in_name_scaled', 'followers_count_scaled'): 0.0034
('following_over_followers_scaled', 'following_rate_scaled'): 0.0033
('username_entropy_scaled', 'hashtag_in_description_count_scaled'): 0.0033
('following_over_followers_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0033
('name_upper_to_lower_ratio_scaled', 'follower_rate_scaled'): 0.0032
('following_over_followers_squared_scaled', 'tweets_over_followers_scaled'): 0.0032
('ratio_digits_in_name_scaled', 'following_over_followers_squared_scaled'): 0.0032
('followers_count_scaled', 'following_rate_scaled'): 0.0032
('username_entropy_scaled', 'description_sentiment_scaled'): 0.0031
('followers_over_following_scaled', 'following_over_followers_scaled'): 0.0029
('double_followers_over_following_scaled', 'following_over_followers_scaled'): 0.0029
('followers_count_scaled', 'following_over_followers_squared_scaled'): 0.0029
('ratio_special_chars_in_name_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0029
('ratio_digits_in_name_scaled', 'hashtag_in_description_count_scaled'): 0.0028
('following_over_followers_squared_scaled', 'following_rate_scaled'): 0.0028
('listed_over_followers_scaled', 'tweet_rate_scaled'): 0.0028
('following_over_followers_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0027
('username_length_scaled', 'tweet_rate_scaled'): 0.0027
('tweet_rate_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0027
('hashtag_in_description_count_scaled', 'account_age_seconds_scaled'): 0.0027
('cashtag_in_description_count_scaled', 'tweets_last20_avg_likes_scaled'): 0.0026
('following_over_followers_squared_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0026
('cashtag_in_description_count_scaled', 'follower_rate_scaled'): 0.0026
('following_over_followers_squared_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0025
('name_upper_to_lower_ratio_scaled', 'followers_over_following_scaled'): 0.0024
('name_upper_to_lower_ratio_scaled', 'double_followers_over_following_scaled'): 0.0024
('ratio_digits_in_name_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0024
('ratio_special_chars_in_description_scaled', 'tweets_last20_avg_likes_scaled'): 0.0023
('description_sentiment_scaled', 'following_over_total_connections_scaled'): 0.0023
('cashtag_in_description_count_scaled', 'following_over_followers_scaled'): 0.0022
('ratio_special_chars_in_description_scaled', 'cashtag_in_description_count_scaled'): 0.0021
('following_over_followers_squared_scaled', 'tweets_last20_avg_likes_scaled'): 0.0020
('description_sentiment_scaled', 'cashtag_in_description_count_scaled'): 0.0020
('name_length_scaled', 'account_age_seconds_scaled'): 0.0019
('cashtag_in_description_count_scaled', 'followers_over_following_scaled'): 0.0019
('cashtag_in_description_count_scaled', 'double_followers_over_following_scaled'): 0.0019
('username_entropy_scaled', 'following_over_followers_scaled'): 0.0014
('cashtag_in_description_count_scaled', 'following_over_followers_squared_scaled'): 0.0014
('followers_over_following_scaled', 'following_over_followers_squared_scaled'): 0.0013
('double_followers_over_following_scaled', 'following_over_followers_squared_scaled'): 0.0013
('ratio_digits_in_description_scaled', 'listed_over_tweets_scaled'): 0.0013
('ratio_digits_in_description_scaled', 'followers_count_scaled'): 0.0012
('ratio_digits_in_description_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0012
('cashtag_in_description_count_scaled', 'listed_over_tweets_scaled'): 0.0011
('description_length_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0011
('ratio_special_chars_in_description_scaled', 'followers_over_following_scaled'): 0.0010
('ratio_special_chars_in_description_scaled', 'double_followers_over_following_scaled'): 0.0010
('cashtag_in_description_count_scaled', 'following_count_scaled'): 0.0010
('cashtag_in_description_count_scaled', 'listed_rate_scaled'): 0.0009
('description_sentiment_scaled', 'listed_over_followers_scaled'): 0.0008
('ratio_digits_in_description_scaled', 'cashtag_in_description_count_scaled'): 0.0007
('ratio_digits_in_name_scaled', 'following_count_scaled'): 0.0005
('ratio_digits_in_name_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0004
('username_entropy_scaled', 'listed_over_followers_scaled'): 0.0004
('username_length_scaled', 'url_in_description_count_scaled'): 0.0003
('username_entropy_scaled', 'following_over_followers_squared_scaled'): 0.0001
('cashtag_in_description_count_scaled', 'following_over_total_connections_scaled'): 0.0001
('ratio_digits_in_description_scaled', 'follower_rate_scaled'): 0.0000
